cod_grupo_unidade;desc_grupo_unidade
214-2017-21030113;SESI - PROJETOS
214-2017-21030114;SESI - PROJETOS
214-2017-9999999999;CENTRO_EMPRESA
214-2018-21010101;SESI - SEDE
214-2018-21010102;SESI - SEDE
214-2018-21010103;SESI - SEDE
214-2018-21010104;SESI - SEDE
214-2018-21010105;SESI - SEDE
214-2018-21010301;SESI - SEDE
214-2018-21010302;SESI - SEDE
214-2018-21010401;SESI - SEDE
214-2018-21010501;SESI - SEDE
214-2018-21010601;SESI - SEDE
214-2018-21010701;SESI - SEDE
214-2018-21010801;SESI - SEDE
214-2018-21030106;SESI - PROJETOS
214-2018-21030107;SESI - PROJETOS
214-2018-21030108;SESI - PROJETOS
214-2018-21030109;SESI - PROJETOS
214-2018-21030110;SESI - PROJETOS
214-2018-21030111;SESI - PROJETOS
214-2018-21030112;SESI - PROJETOS
214-2018-21030113;SESI - PROJETOS
214-2018-21030114;SESI - PROJETOS
214-2018-21030115;SESI - PROJETOS
214-2018-9999999999;CENTRO_EMPRESA
214-2019-21010101;SESI - SEDE
214-2019-21010102;SESI - SEDE
214-2019-21010103;SESI - SEDE
214-2019-21010104;SESI - SEDE
214-2019-21010105;SESI - SEDE
214-2019-21010301;SESI - SEDE
214-2019-21010302;SESI - SEDE
214-2019-21010401;SESI - SEDE
214-2019-21010501;SESI - SEDE
214-2019-21010601;SESI - SEDE
214-2019-21010701;SESI - SEDE
214-2019-21010801;SESI - SEDE
214-2019-21030106;SESI - PROJETOS
214-2019-21030107;SESI - PROJETOS
214-2019-21030108;SESI - PROJETOS
214-2019-21030109;SESI - PROJETOS
214-2019-21030110;SESI - PROJETOS
214-2019-21030111;SESI - PROJETOS
214-2019-21030112;SESI - PROJETOS
214-2019-21030113;SESI - PROJETOS
214-2019-21030114;SESI - PROJETOS
214-2019-21030115;SESI - PROJETOS
214-2019-9999999999;CENTRO_EMPRESA
214-2020-21010101;SESI - SEDE
214-2020-21010102;SESI - SEDE
214-2020-21010103;SESI - SEDE
214-2020-21010104;SESI - SEDE
214-2020-21010105;SESI - SEDE
214-2020-21010301;SESI - SEDE
214-2020-21010302;SESI - SEDE
214-2020-21010401;SESI - SEDE
214-2020-21010501;SESI - SEDE
214-2020-21010601;SESI - SEDE
214-2020-21010701;SESI - SEDE
214-2020-21010801;SESI - SEDE
214-2020-21030106;SESI - PROJETOS
214-2020-21030107;SESI - PROJETOS
214-2020-21030108;SESI - PROJETOS
214-2020-21030109;SESI - PROJETOS
214-2020-21030110;SESI - PROJETOS
214-2020-21030111;SESI - PROJETOS
214-2020-21030112;SESI - PROJETOS
214-2020-21030113;SESI - PROJETOS
214-2020-21030114;SESI - PROJETOS
214-2020-21030115;SESI - PROJETOS
214-2020-9999999999;CENTRO_EMPRESA
214-2021-21010101;SESI - SEDE
214-2021-21010102;SESI - SEDE
214-2021-21010103;SESI - SEDE
214-2021-21010104;SESI - SEDE
214-2021-21010105;SESI - SEDE
214-2021-21010301;SESI - SEDE
214-2021-21010302;SESI - SEDE
214-2021-21010401;SESI - SEDE
214-2021-21010501;SESI - SEDE
214-2021-21010601;SESI - SEDE
214-2021-21010701;SESI - SEDE
214-2021-21010801;SESI - SEDE
214-2021-21030106;SESI - PROJETOS
214-2021-21030107;SESI - PROJETOS
214-2021-21030108;SESI - PROJETOS
214-2021-21030109;SESI - PROJETOS
214-2021-21030110;SESI - PROJETOS
214-2021-21030111;SESI - PROJETOS
214-2021-21030112;SESI - PROJETOS
214-2021-21030113;SESI - PROJETOS
214-2021-21030114;SESI - PROJETOS
214-2021-21030115;SESI - PROJETOS
214-2021-21030116;SESI - PROJETOS
214-2021-9999999999;CENTRO_EMPRESA
214-2017-21020101;SESI - CAMPO GRANDE
214-2017-21020102;SESI - CAMPO GRANDE
214-2017-21020103;SESI - CAMPO GRANDE
214-2017-21020104;SESI - MARACAJU
214-2017-21020105;SESI - MARACAJU
214-2017-21020106;SESI - MARACAJU
214-2017-21020201;SESI - CORUMBÁ
214-2017-21020202;SESI - CORUMBÁ
214-2017-21020203;SESI - CORUMBÁ
214-2017-21020301;SESI - DOURADOS
214-2017-21020302;SESI - DOURADOS
214-2017-21020303;SESI - DOURADOS
214-2017-21020304;SESI - NAVIRAÍ
214-2017-21020305;SESI - NAVIRAÍ
214-2017-21020306;SESI - NAVIRAÍ
214-2017-21020401;SESI - TRÊS LAGOAS
214-2017-21020402;SESI - TRÊS LAGOAS
214-2017-21020403;SESI - TRÊS LAGOAS
214-2017-21020404;SESI - APARECIDA DO TABOADO
214-2017-21020405;SESI - APARECIDA DO TABOADO
214-2017-21020406;SESI - APARECIDA DO TABOADO
214-2017-21020501;SESI - BONITO
214-2017-21020503;SESI - BONITO
214-2018-21020101;SESI - CAMPO GRANDE
214-2018-21020102;SESI - CAMPO GRANDE
214-2018-21020103;SESI - CAMPO GRANDE
214-2018-21020104;SESI - MARACAJU
214-2018-21020105;SESI - MARACAJU
214-2018-21020106;SESI - MARACAJU
214-2018-21020201;SESI - CORUMBÁ
214-2018-21020202;SESI - CORUMBÁ
214-2018-21020203;SESI - CORUMBÁ
