cod_grupo_centro;desc_grupo_centro
2020-30310010128;GESTÃO DA EDUCAÇÃO
2020-30310010129;GESTÃO DA EDUCAÇÃO
2020-30310010130;GESTÃO DA EDUCAÇÃO
2020-30310010131;GESTÃO DA EDUCAÇÃO
2020-30310010132;GESTÃO DA EDUCAÇÃO
2020-30310010133;GESTÃO DA EDUCAÇÃO
2020-30310010134;GESTÃO DA EDUCAÇÃO
2020-30310010135;GESTÃO DA EDUCAÇÃO
2020-30310010141;GESTÃO DA EDUCAÇÃO
2020-30310010150;GESTÃO DA EDUCAÇÃO
2020-30310010151;GESTÃO DA EDUCAÇÃO
2020-30310010152;GESTÃO DA EDUCAÇÃO
2020-30310010190;GESTÃO DA EDUCAÇÃO
2021-30310010102;GESTÃO DA EDUCAÇÃO
2021-30310010104;GESTÃO DA EDUCAÇÃO
2021-30310010105;GESTÃO DA EDUCAÇÃO
2021-30310010106;GESTÃO DA EDUCAÇÃO
2021-30310010107;GESTÃO DA EDUCAÇÃO
2021-30310010108;GESTÃO DA EDUCAÇÃO
2021-30310010109;GESTÃO DA EDUCAÇÃO
2021-30310010111;GESTÃO DA EDUCAÇÃO
2021-30310010113;GESTÃO DA EDUCAÇÃO
2021-30310010116;GESTÃO DA EDUCAÇÃO
2021-30310010119;GESTÃO DA EDUCAÇÃO
2021-30310010120;GESTÃO DA EDUCAÇÃO
2021-30310010121;GESTÃO DA EDUCAÇÃO
2021-30310010127;GESTÃO DA EDUCAÇÃO
2021-30310010128;GESTÃO DA EDUCAÇÃO
2021-30310010129;GESTÃO DA EDUCAÇÃO
2021-30310010130;GESTÃO DA EDUCAÇÃO
2021-30310010131;GESTÃO DA EDUCAÇÃO
2021-30310010132;GESTÃO DA EDUCAÇÃO
2021-30310010134;GESTÃO DA EDUCAÇÃO
2021-30310010135;GESTÃO DA EDUCAÇÃO
2021-30310010141;GESTÃO DA EDUCAÇÃO
2021-30310010150;GESTÃO DA EDUCAÇÃO
2021-30310010151;GESTÃO DA EDUCAÇÃO
2021-30310010152;GESTÃO DA EDUCAÇÃO
2017-30303010101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303010201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020301;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020401;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020501;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020502;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020601;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303020701;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303030101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303040101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303040201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303040299;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303040301;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30303040401;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
